,recipeName,recipeLink,name,calories,fat,protein,carb,imgURL,click_count,image
2,Homemade-Blue-Lemonade-2536078,recipe/Homemade-Blue-Lemonade-2536078,Homemade Blue Lemonade,80,0.0,21.0,0.0,https://lh3.googleusercontent.com/1sRneVeIt7c64tCetDy6xDhrX0rlf1HFstIjOO6MAkMOB_yr9TPzqGNUPKHO2onV9XVGYkN7dDKi3V8qsivzuw,39004,https://lh3.googleusercontent.com/1sRneVeIt7c64tCetDy6xDhrX0rlf1HFstIjOO6MAkMOB_yr9TPzqGNUPKHO2onV9XVGYkN7dDKi3V8qsivzuw=s640-c-rw-v1-e365
6,Simply-Perfect-Easy-Steak-Butter-2561889,recipe/Simply-Perfect-Easy-Steak-Butter-2561889,Simply Perfect Easy Steak Butter,110,12.0,0.0,0.5,https://lh3.googleusercontent.com/_EK0RXlBF7IsMSt6JrF-DGdcNF0_qoz_gjjuIJ9rmN7u1JoOT_2Ld-LDZ8eqVkntNbkHIcFIjVxbHiiLQkBp1E8,726,https://lh3.googleusercontent.com/_EK0RXlBF7IsMSt6JrF-DGdcNF0_qoz_gjjuIJ9rmN7u1JoOT_2Ld-LDZ8eqVkntNbkHIcFIjVxbHiiLQkBp1E8=s640-c-rw-v1-e365
7,Egg-Fried-Rice-2535076,recipe/Egg-Fried-Rice-2535076,Egg Fried Rice,100,9.0,3.0,0.5,https://lh3.googleusercontent.com/QykaKBfWnkLkc0D_TsLGVuER8R9ngcrm1zvxpkVxyx0-_-XEEudhpHfgNKyZQezPv7mxjzruHVNrTr0IBS7V-GA,19450,https://lh3.googleusercontent.com/QykaKBfWnkLkc0D_TsLGVuER8R9ngcrm1zvxpkVxyx0-_-XEEudhpHfgNKyZQezPv7mxjzruHVNrTr0IBS7V-GA=s640-c-rw-v1-e365
9,Slow-Baked-Chili-Salmon-2399960,recipe/Slow-Baked-Chili-Salmon-2399960,Slow Baked Chili Salmon,60,4.0,5.0,0.5,https://lh3.googleusercontent.com/4u0fZkJJNO3BP9qXd9Vie6OIYdFSzF4qnkjokm5acxWkr71sSFUWpUFHOyaAcEI7hztvRTNPVFL2CwJir5XzYAQ,10977,https://lh3.googleusercontent.com/4u0fZkJJNO3BP9qXd9Vie6OIYdFSzF4qnkjokm5acxWkr71sSFUWpUFHOyaAcEI7hztvRTNPVFL2CwJir5XzYAQ=s640-c-rw-v1-e365
10,Morning-Egg-Bites-2636113,recipe/Morning-Egg-Bites-2636113,Morning Egg Bites,20,1.5,2.0,0.5,https://lh3.googleusercontent.com/L9gsprW9ZFx5JXgqmWeIb-DfvYG_TnVL29234DmhJurZyKoJ0INKKID_9Xu6MQn6SfC9oxXGgEDJbASvfO5z,61923,https://lh3.googleusercontent.com/L9gsprW9ZFx5JXgqmWeIb-DfvYG_TnVL29234DmhJurZyKoJ0INKKID_9Xu6MQn6SfC9oxXGgEDJbASvfO5z=s640-c-rw-v1-e365
12,Parmesan-Roasted-Cauliflower-9101560,recipe/Parmesan-Roasted-Cauliflower-9101560,Parmesan Roasted Cauliflower,160,16.0,3.0,1.0,https://lh3.googleusercontent.com/OUQYhg8E9_i6sLMUhzZk_X_QXWutaSaZ6e6Fm8bXIPYbG0sb0X83kCKBiNAyIq3xpRbAVQhKm2m45AiB9KCR4A,9257,https://lh3.googleusercontent.com/OUQYhg8E9_i6sLMUhzZk_X_QXWutaSaZ6e6Fm8bXIPYbG0sb0X83kCKBiNAyIq3xpRbAVQhKm2m45AiB9KCR4A=s640-c-rw-v1-e365
13,Curry-Coconut-Oil-Roasted-Cauliflower-2684152,recipe/Curry-Coconut-Oil-Roasted-Cauliflower-2684152,Curry Coconut Oil Roasted Cauliflower,70,7.0,0.0,1.0,https://lh3.googleusercontent.com/_as6zaKlOYmOAqStQwgO4qU2T8dlqg27h8jqp8g8adkhFX-QNBq6iL7eerGnPRT-Bl5lvrSI01p-NNLA4bKhiA,15301,https://lh3.googleusercontent.com/_as6zaKlOYmOAqStQwgO4qU2T8dlqg27h8jqp8g8adkhFX-QNBq6iL7eerGnPRT-Bl5lvrSI01p-NNLA4bKhiA=s640-c-rw-v1-e365
14,Homemade-Peanut-Butter-Dog-Treats-2541807,recipe/Homemade-Peanut-Butter-Dog-Treats-2541807,Homemade Peanut Butter Dog Treats,10,0.5,0.0,1.0,https://lh3.googleusercontent.com/yrbhIytHafONcljRRD65h-YNs1C2Xh8y_M4nxN_L42FBsedpKNMUU0ojcRrm1afpSa1TPl4NAdL5IzvkLg-DmI8,1791,https://lh3.googleusercontent.com/yrbhIytHafONcljRRD65h-YNs1C2Xh8y_M4nxN_L42FBsedpKNMUU0ojcRrm1afpSa1TPl4NAdL5IzvkLg-DmI8=s640-c-rw-v1-e365
15,Baked-Salmon-with-Parmesan-Herb-Crust-2037670,recipe/Baked-Salmon-with-Parmesan-Herb-Crust-2037670,Baked Salmon with Parmesan Herb Crust,90,6.0,8.0,1.0,https://lh3.googleusercontent.com/ZCBb4pY2U0D58EIWihpcztTVPBq0R3nggqm5xj-f-scxe68YJ93nHJ-P1H-W9ENQCi0RRCY0CeGMZhFwhEkKWw,55833,https://lh3.googleusercontent.com/ZCBb4pY2U0D58EIWihpcztTVPBq0R3nggqm5xj-f-scxe68YJ93nHJ-P1H-W9ENQCi0RRCY0CeGMZhFwhEkKWw=s640-c-rw-v1-e365
19,Cheesy-Broccoli-and-Bacon-Scramble-2384741,recipe/Cheesy-Broccoli-and-Bacon-Scramble-2384741,Cheesy Broccoli and Bacon Scramble,100,8.0,5.0,1.0,https://lh3.googleusercontent.com/xtA4I_s1_dnQLPtm1vSzKsqjJBXJaktGd7l2BIVfaKgnD5GmPl5wSJDJDM6zEkpSoFjRV8w7OVVBlyu51IsF,5183,https://lh3.googleusercontent.com/xtA4I_s1_dnQLPtm1vSzKsqjJBXJaktGd7l2BIVfaKgnD5GmPl5wSJDJDM6zEkpSoFjRV8w7OVVBlyu51IsF=s640-c-rw-v1-e365
