,recipeName,recipeLink,name,calories,fat,protein,carb,imgURL,click_count,image
58,Mom_s-Best-Apple-Cake-2557910,recipe/Mom_s-Best-Apple-Cake-2557910,Mom's Best Apple Cake,780,41.0,6.0,100.0,https://lh3.googleusercontent.com/GNKuq-bCZHjxY6e-_wBK2zkpOGqXMnfUY-B1ECLWOzSMjdxObkQy72ooyJROFe_ogTvDnHQP9Uxpezd1oxUV1Q,3083,https://lh3.googleusercontent.com/GNKuq-bCZHjxY6e-_wBK2zkpOGqXMnfUY-B1ECLWOzSMjdxObkQy72ooyJROFe_ogTvDnHQP9Uxpezd1oxUV1Q=s640-c-rw-v1-e365
61,Baked-Candied-Yams---Soul-Food-Style-2598093,recipe/Baked-Candied-Yams---Soul-Food-Style-2598093,Baked Candied Yams - Soul Food Style,640,23.0,4.0,106.0,https://lh3.googleusercontent.com/i5qvgM8JbiXBZxA-54PwqvqC2uO9LmVJODn_6d5afs79J7Gz2jAgSRcaHmZw6jXBx3prsBPXTNeFWE-gL_LZd-c,3029,https://lh3.googleusercontent.com/i5qvgM8JbiXBZxA-54PwqvqC2uO9LmVJODn_6d5afs79J7Gz2jAgSRcaHmZw6jXBx3prsBPXTNeFWE-gL_LZd-c=s640-c-rw-v1-e365
73,Crack-Chicken-Casserole-2666924,recipe/Crack-Chicken-Casserole-2666924,Crack Chicken Casserole,650,46.0,47.0,11.0,https://lh3.googleusercontent.com/6YrlkohxnVw81-p3ga5myqSl9yjCwDcxEL4hwf1O92NwSeCW2T-gpqOqKBsG6pPbupIYdNv5bdJjC8JFfo-_EoM,8375,https://lh3.googleusercontent.com/6YrlkohxnVw81-p3ga5myqSl9yjCwDcxEL4hwf1O92NwSeCW2T-gpqOqKBsG6pPbupIYdNv5bdJjC8JFfo-_EoM=s640-c-rw-v1-e365
87,Baked-Chicken-Parmesan-2258138,recipe/Baked-Chicken-Parmesan-2258138,Baked Chicken Parmesan,830,21.0,50.0,110.0,https://lh3.googleusercontent.com/sCP1dPeyt8BTBhVfLCHKgzQvuX-8mj2xAVGub0Cc12NPzZGBAeGhhMlP4nS7pEnqEdWi38dSY18OMmPdH_RD,30757,https://lh3.googleusercontent.com/sCP1dPeyt8BTBhVfLCHKgzQvuX-8mj2xAVGub0Cc12NPzZGBAeGhhMlP4nS7pEnqEdWi38dSY18OMmPdH_RD=s640-c-rw-v1-e365
88,Soft-Dinner-Rolls-9092442,recipe/Soft-Dinner-Rolls-9092442,Soft Dinner Rolls,740,22.0,17.0,118.0,https://lh3.googleusercontent.com/O51JRKRVSLhEMRApTdcnA8skEf6JFeDof_EMIBSQUKlKkPfaXKSvCj1E8SlrfD82KdqzSwp6LS4uEi-xS_DNGQ,1069,https://lh3.googleusercontent.com/O51JRKRVSLhEMRApTdcnA8skEf6JFeDof_EMIBSQUKlKkPfaXKSvCj1E8SlrfD82KdqzSwp6LS4uEi-xS_DNGQ=s640-c-rw-v1-e365
120,Crock-Pot-Pot-Roast-2656136,recipe/Crock-Pot-Pot-Roast-2656136,Crock Pot Pot Roast,620,41.0,44.0,13.0,https://lh3.googleusercontent.com/s7tb0PW7PN4LOPC72Sgs_L5b5QYaxexdbKKTWENuntYrIY2Rt_rxb1X4xt8uFhD4JfbhjesA5ljrmC0sdF_YMV0,4792,https://lh3.googleusercontent.com/s7tb0PW7PN4LOPC72Sgs_L5b5QYaxexdbKKTWENuntYrIY2Rt_rxb1X4xt8uFhD4JfbhjesA5ljrmC0sdF_YMV0=s640-c-rw-v1-e365
121,Easy-Shortcut-Cinnamon-Rolls-1878413,recipe/Easy-Shortcut-Cinnamon-Rolls-1878413,Easy Shortcut Cinnamon Rolls,670,15.0,10.0,130.0,https://lh3.googleusercontent.com/u0TjTd3OBhfT-Fpqf1mCmkJhhZo-wqgCbTHae6RCPkLaE0PLO4IWQnuwjmbVN0GDSg2H73n7vXxmZ8f3gYBjkg,11539,https://lh3.googleusercontent.com/u0TjTd3OBhfT-Fpqf1mCmkJhhZo-wqgCbTHae6RCPkLaE0PLO4IWQnuwjmbVN0GDSg2H73n7vXxmZ8f3gYBjkg=s640-c-rw-v1-e365
175,Cranberry-Orange-Sauce-2223804,recipe/Cranberry-Orange-Sauce-2223804,Cranberry Orange Sauce,610,2.0,155.0,17.0,https://lh3.googleusercontent.com/E66lFoOn58B-9uOj2zUuo4zfqdsWp6FN_mQw-3cZKhyl4htO2TbgjLVcSQyGzePMUmCBWn9I35jRz_2FFy8f6-k,2036,https://lh3.googleusercontent.com/E66lFoOn58B-9uOj2zUuo4zfqdsWp6FN_mQw-3cZKhyl4htO2TbgjLVcSQyGzePMUmCBWn9I35jRz_2FFy8f6-k=s640-c-rw-v1-e365
194,Sheet-Pan-Garlic-Lemon-Butter-Salmon-2571801,recipe/Sheet-Pan-Garlic-Lemon-Butter-Salmon-2571801,Sheet Pan Garlic Lemon Butter Salmon,680,49.0,40.0,18.0,https://lh3.googleusercontent.com/h9mn6Njdxmv-VPi0SfwBJK5eJ7yTsYN2bv_MWk3cfl4RXjP1qjcHN9cGFNGAbxNca2v5gY4f6YRn8nysr5OvSw,24925,https://lh3.googleusercontent.com/h9mn6Njdxmv-VPi0SfwBJK5eJ7yTsYN2bv_MWk3cfl4RXjP1qjcHN9cGFNGAbxNca2v5gY4f6YRn8nysr5OvSw=s640-c-rw-v1-e365
228,Low-Carb-Fried-Chicken-2516074,recipe/Low-Carb-Fried-Chicken-2516074,Low Carb Fried Chicken,760,54.0,61.0,2.0,https://lh3.googleusercontent.com/X9JvOuR--4kNKkYFxG5_htQxBx8t1wxIbEfXhyGWom5BokSstoel8YvnrA_6X9BijZe05ZMdYQfYgv5rSkt76w,13108,https://lh3.googleusercontent.com/X9JvOuR--4kNKkYFxG5_htQxBx8t1wxIbEfXhyGWom5BokSstoel8YvnrA_6X9BijZe05ZMdYQfYgv5rSkt76w=s640-c-rw-v1-e365
344,Slow-Cooker-Beef-Pot-Roast-1504294,recipe/Slow-Cooker-Beef-Pot-Roast-1504294,Slow Cooker Beef Pot Roast,750,47.0,53.0,27.0,https://lh3.googleusercontent.com/WLwLoky-B7OQfXpLktKNpGyHZSVtNHM1vBDWD3TJnJ9o60YsQacCHYugusLgM_OOzfxpvVvW3gpoYL6eXaQUTw,187048,https://lh3.googleusercontent.com/WLwLoky-B7OQfXpLktKNpGyHZSVtNHM1vBDWD3TJnJ9o60YsQacCHYugusLgM_OOzfxpvVvW3gpoYL6eXaQUTw=s640-c-rw-v1-e365
362,Breakfast-Quesadillas-2288002,recipe/Breakfast-Quesadillas-2288002,Breakfast Quesadillas,630,44.0,30.0,29.0,https://lh3.googleusercontent.com/qTCFdUbDE5kGdu-Qd7PL80a1LrdhpTw__EQS_mrNRWjw7oyh3Zz2rpju69QPohFNRLMVdDRaCN-Xw0CdJhwO7g,68790,https://lh3.googleusercontent.com/qTCFdUbDE5kGdu-Qd7PL80a1LrdhpTw__EQS_mrNRWjw7oyh3Zz2rpju69QPohFNRLMVdDRaCN-Xw0CdJhwO7g=s640-c-rw-v1-e365
