name,fat,protein,carb,calories,recipeLink,recipeName,recipeUrl,click_count
Foil-Pack-Cajun-Chicken-and-Veggies-2524838,31.0,36.0,0.0,430,recipe/Foil-Pack-Cajun-Chicken-and-Veggies-2524838,Foil Pack Cajun Chicken and Veggies,https://lh3.googleusercontent.com/RnAv3IIcPRU1363vFGpT2SAypyaUBfz1pLdb35OdKvsonuu82D-3PvfYSSsZZtVMV-ci2oI1sx5rw3xwIe0lJg,20777
Family-Style-Sheet-Pan-Egg-in-a-Hole-9029519,0.0,21.0,0.0,80,recipe/Family-Style-Sheet-Pan-Egg-in-a-Hole-9029519,Family-Style Sheet Pan Egg-in-a-Hole,https://lh3.googleusercontent.com/MQEcjxuMYq6uvzV7MwWBrgOl_d8BwSbrxPzNq9JcYVZHWrw2DO8u5_fqQfW9eOX-jKOKei4_RtkrwH2qA8QY,3123
Homemade-Mayonnaise-2621979,55.0,2.0,0.0,500,recipe/Homemade-Mayonnaise-2621979,Homemade Mayonnaise,https://lh3.googleusercontent.com/Z3FbYu6NWZarbAJ7pydOjErBw95uY4xFLYRm65hVP40Fkt0LOAM516v2WNN7-OruX4ymuvr0mj5UqxBqWJv8,1301
The-Best-Homemade-Cheesecake-2563290,12.0,0.0,0.5,110,recipe/The-Best-Homemade-Cheesecake-2563290,The Best Homemade Cheesecake,https://lh3.googleusercontent.com/8gNKR0KHxcdlp9n-sNLtBGJQay0fg4QSMhv8cvNK7CwV92HkktSA1pPfKVqOGHMEFlYim1kJHK-J9q_DqVUOjA,23064
Bedtime-Golden-Milk-2544555,4.0,5.0,0.5,60,recipe/Bedtime-Golden-Milk-2544555,Bedtime Golden Milk,https://lh3.googleusercontent.com/C8zcfnlCvvIMz7cVQam5hmSdxzoBHJI1VVsJsQJt7BDcUCWIF1qmc3NBRwpUydxnMR79Y-0wzpf9_6V-uMt8,1897
Chicken-Parmesan-Pasta-Skillet-_ONLY-6-INGREDIENTS__-2199094,22.0,4.0,0.5,220,recipe/Chicken-Parmesan-Pasta-Skillet-_ONLY-6-INGREDIENTS__-2199094,Chicken Parmesan Pasta Skillet (ONLY 6 INGREDIENTS!),https://lh3.googleusercontent.com/5ZCEQCwSXbRcHzcAcD5wlqkGlsOyvt0tp30YPxg88hiW7uc_Hv00NhFBXHjlK4Z6F5Mc--qa2hfbNVkDUGi7,33300
Low-Carb-Fried-Chicken-2516074,23.0,24.0,0.5,320,recipe/Low-Carb-Fried-Chicken-2516074,Low Carb Fried Chicken,https://lh3.googleusercontent.com/X9JvOuR--4kNKkYFxG5_htQxBx8t1wxIbEfXhyGWom5BokSstoel8YvnrA_6X9BijZe05ZMdYQfYgv5rSkt76w,13108
Cheesy-Broccoli-and-Bacon-Scramble-2384741,30.0,45.0,0.5,450,recipe/Cheesy-Broccoli-and-Bacon-Scramble-2384741,Cheesy Broccoli and Bacon Scramble,https://lh3.googleusercontent.com/xtA4I_s1_dnQLPtm1vSzKsqjJBXJaktGd7l2BIVfaKgnD5GmPl5wSJDJDM6zEkpSoFjRV8w7OVVBlyu51IsF,5183
Crispy-Healthy-Baked-Zucchini-Fries-2555498,12.0,32.0,0.5,240,recipe/Crispy-Healthy-Baked-Zucchini-Fries-2555498,Crispy Healthy Baked Zucchini Fries,https://lh3.googleusercontent.com/OSMOe9LGO_pcm_k0TEZYHT2-Yt9FBUKIPjFolYqHCnKUHcOOHW_ezbn6eOXiq_7dqWuFquYXUS2vPXqUArCKw6Y,1528
Cajun-Shrimp-and-Sausage-Vegetable-Sheet-Pan-2435094,9.0,3.0,0.5,100,recipe/Cajun-Shrimp-and-Sausage-Vegetable-Sheet-Pan-2435094,Cajun Shrimp and Sausage Vegetable Sheet Pan,https://lh3.googleusercontent.com/heOOaw9RRRxCVn9KI3p7pvJp5dMEP46SWD0JZqROM2_F3Owfs47cPCrVooaySTyrhu5SWjjs2bvLArt8wIxJkA,31988
